perturbation,x,y,n,spearman_rho,p_value
deletion,selected_hit_count,abs_delta_valence,6482,0.2781629336838777,1.711322120894997e-115
deletion,selected_hit_count,abs_delta_arousal,6482,0.26928046365553965,4.405715253805447e-108
deletion,selected_hit_count,delta_affect_shift_mag,6482,0.3925325728054933,8.826203984677253e-238
deletion,selected_hit_type_count,abs_delta_valence,6482,0.14305359434061368,5.534952637514954e-31
deletion,selected_hit_type_count,abs_delta_arousal,6482,0.13157906393096147,1.9880953611777185e-26
deletion,selected_hit_type_count,delta_affect_shift_mag,6482,0.20610517311442503,3.9862344264256447e-63
deletion,selected_hit_prop,abs_delta_valence,6482,0.29055596976319437,2.6541550004982822e-126
deletion,selected_hit_prop,abs_delta_arousal,6482,0.2998925773429269,8.17048312621358e-135
deletion,selected_hit_prop,delta_affect_shift_mag,6482,0.4012532760606287,2.3664212476424113e-249
mask,selected_hit_count,abs_delta_valence,6482,0.2589409679472966,8.365320504546237e-100
mask,selected_hit_count,abs_delta_arousal,6482,0.25232110623337695,1.0692103437712173e-94
mask,selected_hit_count,delta_affect_shift_mag,6482,0.3618386411688682,9.530695577958466e-200
mask,selected_hit_type_count,abs_delta_valence,6482,0.14074591916892915,4.904039493681923e-30
mask,selected_hit_type_count,abs_delta_arousal,6482,0.13518852515829707,8.08055312374096e-28
mask,selected_hit_type_count,delta_affect_shift_mag,6482,0.20262644588899906,4.964089297097637e-61
mask,selected_hit_prop,abs_delta_valence,6482,0.30689645039800184,2.069371734522841e-141
mask,selected_hit_prop,abs_delta_arousal,6482,0.2825269163922461,3.0896930209360984e-119
mask,selected_hit_prop,delta_affect_shift_mag,6482,0.3914366834985943,2.3734159150688605e-236
replacement_lowgap,selected_hit_count,abs_delta_valence,6482,0.25876515846548,1.1482757312857521e-99
replacement_lowgap,selected_hit_count,abs_delta_arousal,6482,0.25227572928850445,1.1575771869574185e-94
replacement_lowgap,selected_hit_count,delta_affect_shift_mag,6482,0.3526799312716307,3.515831556543725e-189
replacement_lowgap,selected_hit_type_count,abs_delta_valence,6482,0.11281016732445248,8.25455922844026e-20
replacement_lowgap,selected_hit_type_count,abs_delta_arousal,6482,0.14189830907173204,1.6573146732228724e-30
replacement_lowgap,selected_hit_type_count,delta_affect_shift_mag,6482,0.1848286393197857,6.575543058401868e-51
replacement_lowgap,selected_hit_prop,abs_delta_valence,6482,0.25774210290141775,7.2182893979697965e-99
replacement_lowgap,selected_hit_prop,abs_delta_arousal,6482,0.2895526815455055,2.0874510093632717e-125
replacement_lowgap,selected_hit_prop,delta_affect_shift_mag,6482,0.35335264569068775,6.049766622489623e-190
