metric,condition_a,condition_b,n,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value
abs_delta_valence,mask,replacement_lowgap,6482,0.08985420202860266,0.10861880158553855,-0.01876459955693589,8629083.0,1.30922620901765e-35
abs_delta_valence,mask,deletion,6482,0.08985420202860266,0.07846332860078373,0.011390873427818941,7978720.0,3.926363161360203e-63
abs_delta_valence,replacement_lowgap,deletion,6482,0.10861880158553855,0.07846332860078373,0.030155472984754836,6659899.0,1.0437162391725893e-143
abs_delta_arousal,mask,replacement_lowgap,6482,0.08233724557639246,0.08235306948165298,-1.5823905260516557e-05,10016088.0,0.001155664828683746
abs_delta_arousal,mask,deletion,6482,0.08233724557639246,0.07715878348900378,0.005178462087388686,9219057.0,1.3473595599590431e-17
abs_delta_arousal,replacement_lowgap,deletion,6482,0.08235306948165298,0.07715878348900378,0.005194285992649203,10224649.0,0.06212997997007777
delta_affect_shift_mag,mask,replacement_lowgap,6482,0.1351921034321503,0.15079645819234044,-0.015604354760190186,9219550.0,1.3860485558412868e-17
delta_affect_shift_mag,mask,deletion,6482,0.1351921034321503,0.12251934517925378,0.012672758252896503,7862055.0,6.37245685756544e-69
delta_affect_shift_mag,replacement_lowgap,deletion,6482,0.15079645819234044,0.12251934517925378,0.028277113013086684,7380620.0,1.4657930375232618e-95
