perturbation,selected_hit_prop_bin,n_posts,mean_selected_hit_prop,mean_abs_delta_valence,mean_abs_delta_arousal,mean_delta_affect_shift_mag,median_delta_affect_shift_mag
deletion,"(0.00010000000000000005, 0.00488]",1304,0.003572665054287516,0.046184083479158894,0.04896894207186884,0.0754840689166076,0.06701767736783185
mask,"(0.00010000000000000005, 0.00488]",1304,0.003572665054287516,0.055474069599151535,0.054583667070617695,0.08650996672522064,0.0735290169969111
replacement_lowgap,"(0.00010000000000000005, 0.00488]",1304,0.003572665054287516,0.06823007083323455,0.05137928811003105,0.09497539424984781,0.07135048649714204
deletion,"(0.00488, 0.00709]",1295,0.005996353126546121,0.06040080239417815,0.05688719197277142,0.09192494531918975,0.08261900912711559
mask,"(0.00488, 0.00709]",1295,0.005996353126546121,0.07065458654515105,0.0628710773423092,0.10479083003489231,0.08804500253035696
replacement_lowgap,"(0.00488, 0.00709]",1295,0.005996353126546121,0.08886931968796014,0.06195861446587044,0.1195981958040782,0.0940279228120112
deletion,"(0.00709, 0.01]",1295,0.008434377570568464,0.07393473734835182,0.06791668366794902,0.11117432644211989,0.09252433675794473
mask,"(0.00709, 0.01]",1295,0.008434377570568464,0.08330894852507938,0.07486183487559467,0.12455767743446164,0.10474845719888315
replacement_lowgap,"(0.00709, 0.01]",1295,0.008434377570568464,0.09931675127158851,0.07440959720650375,0.137040418880184,0.1070754337912182
deletion,"(0.01, 0.0154]",1291,0.012273919235894291,0.08840936207897172,0.0838393482150046,0.13606481209722499,0.10946227480254898
mask,"(0.01, 0.0154]",1291,0.012273919235894291,0.09871826096812389,0.08845981064390847,0.14767919412524488,0.12180638327664284
replacement_lowgap,"(0.01, 0.0154]",1291,0.012273919235894291,0.12396908887466321,0.08884612233760994,0.1687524194671189,0.13746327373229522
deletion,"(0.0154, 0.333]",1297,0.02772429568249746,0.12357304604697614,0.12831928805990872,0.19820041652756612,0.15596607206918567
mask,"(0.0154, 0.333]",1297,0.02772429568249746,0.14130200305806667,0.13104640485938251,0.2126800779097964,0.1773695842576183
replacement_lowgap,"(0.0154, 0.333]",1297,0.02772429568249746,0.1629529713809694,0.13532523256053597,0.2339308776814027,0.19025211795849528
