perturbation,selected_hit_type_count,n_posts,mean_abs_delta_valence,mean_abs_delta_arousal,mean_delta_affect_shift_mag,median_delta_affect_shift_mag,mean_selected_hit_prop
deletion,1,4895,0.07022752420218302,0.07017885445348157,0.11011563318638186,0.08744463961791767,0.01053280347057007
mask,1,4895,0.08109999363453516,0.07525798908784681,0.12240452032335714,0.09840916912423482,0.01053280347057007
replacement_lowgap,1,4895,0.10101427768292157,0.07493188255093361,0.1384179650006186,0.10186076196595505,0.01053280347057007
deletion,2,1285,0.0985014438794899,0.09172378607829329,0.15062532943980672,0.11858816730321575,0.014457826316299334
mask,2,1285,0.11296856669834718,0.09795610635108035,0.1662543458847406,0.1400953736875511,0.014457826316299334
replacement_lowgap,2,1285,0.1283639392554832,0.09720373675697613,0.17916947057856492,0.14349417098680028,0.014457826316299334
deletion,3,251,0.12638382660009978,0.13154238614974692,0.20743573439724045,0.16064428724318033,0.016613361821698945
mask,3,251,0.1360319434682147,0.13360686421938664,0.21601311065358117,0.18079398743227296,0.016613361821698945
replacement_lowgap,3,251,0.14135404650996466,0.1368717199380796,0.22358874764902129,0.18082478735185978,0.016613361821698945
deletion,4,45,0.11951797108298386,0.10319029223880317,0.17134200847015457,0.16179937245585502,0.01595045865876571
mask,4,45,0.11218271236700512,0.09933288187197134,0.16418594811343384,0.15067774799691197,0.01595045865876571
replacement_lowgap,4,45,0.15836278120119435,0.13639385338871657,0.2393655721433485,0.18514492257848658,0.01595045865876571
deletion,5,6,0.19342674334839463,0.18199580683178143,0.30401049326130175,0.25045172663279647,0.021081409252836036
mask,5,6,0.1822701056566006,0.2405449961204682,0.3167657605533252,0.26137537545274153,0.021081409252836036
replacement_lowgap,5,6,0.34138830803483505,0.2702840755983467,0.46361787081866024,0.4347135026013432,0.021081409252836036
