word,overall_token_count,overall_doc_count,overall_freq_per_10k_highgap_tokens
good,4907,3507,2480.036389366219
great,1606,1312,811.685029819064
story,1402,965,708.5818255332053
interesting,1144,999,578.1865965834428
thank,725,643,366.42070150611545
due,625,581,315.8799150914788
beginning,544,500,274.94187809562317
dream,524,281,264.83372081269584
normal,475,397,240.06873546952392
father,440,270,222.3794602244011
special,407,357,205.701000707571
tea,358,153,180.93601536439908
clothes,285,198,144.04124128171435
wear,268,179,135.44930759122613
area,262,217,132.41686040634792
born,255,205,128.87900535732336
comfortable,254,236,128.373597493177
grow,233,200,117.76003234610332
park,226,147,114.22217729707874
decide,219,209,110.68432224805419
fresh,209,180,105.63024360659053
option,204,186,103.1032042858587
wonderful,203,187,102.59779642171233
extra,200,174,101.08157282927321
lucky,183,167,92.489639138785
begin,180,166,90.9734155463459
shop,179,124,90.46800768219954
card,175,94,88.44637622561407
mix,139,120,70.2516931163449
grocery,130,103,65.7030223390276
shoes,117,74,59.13272010512484
ideal,116,91,58.62731224097846
responsible,113,97,57.11108864853937
driver,110,64,55.594865056100275
camera,106,58,53.57323359951481
pet,95,65,48.01374709390478
wet,95,81,48.01374709390478
potato,91,44,45.992115637319316
thousand,89,77,44.98129990902659
explore,87,85,43.970484180733855
sight,74,70,37.4001819468311
autumn,72,54,36.389366218538356
hometown,70,56,35.37855049024563
shirt,70,52,35.37855049024563
belong,66,56,33.35691903366016
pace,66,61,33.35691903366016
inspiration,65,59,32.8515111695138
fashion,65,44,32.8515111695138
efficient,65,63,32.8515111695138
department,64,51,32.34610330536743
graduate,61,53,30.82987971292833
precious,57,52,28.808248256342868
breathe,53,48,26.786616799757404
external,53,40,26.786616799757404
assignment,51,36,25.775801071464674
category,50,40,25.270393207318303
resort,49,45,24.76498534317194
suit,48,41,24.259577479025573
rose,43,34,21.732538158293742
fuck,40,28,20.216314565854645
turkey,39,32,19.710906701708275
environmental,39,25,19.710906701708275
mum,39,27,19.710906701708275
advertising,38,23,19.205498837561912
discount,38,30,19.205498837561912
retirement,38,19,19.205498837561912
mall,37,30,18.70009097341555
satisfaction,35,29,17.689275245122815
refresh,30,30,15.162235924390984
enthusiasm,28,28,14.151420196098252
chip,26,14,13.140604467805518
picnic,25,20,12.635196603659152
blast,22,22,11.118973011220055
bullshit,19,19,9.602749418780956
tremendous,17,17,8.591933690488224
assessment,15,14,7.581117962195492
liar,14,13,7.075710098049126
vine,14,7,7.075710098049126
pose,13,13,6.570302233902759
involvement,10,9,5.054078641463661
rumor,9,8,4.5486707773172945
regain,9,9,4.5486707773172945
gossip,9,9,4.5486707773172945
cupcake,8,5,4.043262913170929
furry,7,7,3.537855049024563
superb,7,6,3.537855049024563
magician,6,6,3.0324471848781966
colonial,5,5,2.5270393207318307
butler,5,5,2.5270393207318307
sexuality,4,4,2.0216314565854643
sanctuary,4,4,2.0216314565854643
pal,3,3,1.5162235924390983
cuddle,3,2,1.5162235924390983
merit,3,3,1.5162235924390983
jewel,3,3,1.5162235924390983
motherfucker,1,1,0.5054078641463661
orgasm,1,1,0.5054078641463661
masked,1,1,0.5054078641463661
