x,y,n,spearman_rho,p_value
selected_hit_count,abs_delta_valence,6482,0.2589409679472966,8.365320504546237e-100
selected_hit_count,abs_delta_arousal,6482,0.25232110623337695,1.0692103437712173e-94
selected_hit_count,delta_affect_shift_mag,6482,0.3618386411688682,9.530695577958466e-200
selected_hit_count,delta_valence,6482,-0.06540482003733575,1.3610682610212014e-07
selected_hit_count,delta_arousal,6482,-0.02701701903111374,0.029619537993840817
selected_hit_type_count,abs_delta_valence,6482,0.14074591916892915,4.904039493681923e-30
selected_hit_type_count,abs_delta_arousal,6482,0.13518852515829707,8.08055312374096e-28
selected_hit_type_count,delta_affect_shift_mag,6482,0.20262644588899906,4.964089297097637e-61
selected_hit_type_count,delta_valence,6482,-0.025012748401624166,0.04403843960614592
selected_hit_type_count,delta_arousal,6482,-0.020923281732086307,0.09210224935402503
selected_hit_prop,abs_delta_valence,6482,0.30689645039800184,2.069371734522841e-141
selected_hit_prop,abs_delta_arousal,6482,0.2825269163922461,3.0896930209360984e-119
selected_hit_prop,delta_affect_shift_mag,6482,0.3914366834985943,2.3734159150688605e-236
selected_hit_prop,delta_valence,6482,0.10388576126996817,5.071926365936674e-17
selected_hit_prop,delta_arousal,6482,0.11263282469839252,9.426334176663934e-20
