mh_best_seed,n_posts
I’ve had trouble concentrating on things like reading or work.,756
Things I usually enjoy don’t feel enjoyable lately.,147
My eating has changed a lot recently.,128
My sleep has been disrupted or unrefreshing.,122
I’ve felt tired or like I had very little energy.,91
"I’ve been feeling down, depressed, or hopeless.",90
"I’ve felt bad about myself, like a failure, or that I’ve let people down.",86
"Others might notice I’m moving/speaking slower, or I’ve been unusually fidgety.",81
Even small tasks feel exhausting.,60
My mind feels foggy and it’s hard to focus.,56
I’ve felt sad or empty most days.,55
I’ve had thoughts that I’d be better off dead or of hurting myself.,35
"I’ve had trouble falling asleep, staying asleep, or sleeping too much.",34
I’ve had thoughts about not wanting to be alive.,30
My appetite has been poor or I’ve been overeating.,23
I’ve felt slowed down or restless and unable to sit still.,16
I have had little interest or pleasure in doing things.,14
I’ve been blaming myself or feeling guilty a lot.,10
